fr	ewe
L’ambassade de Russie aux États-Unis appelle les diplomates américains à arrêter les critiques contre le vaccin russe et à se concentrer sur la santé des Américains	Rɔshaduteƒenɔla le Amerika wɔ yɔyɔ na Amerikadunyagblɔlawo be wonekpɔ wodeviwo ƒe agbeta aheɖe asi le Rɔsha ƒe abɔtatike la ŋue.
«N’essayez pas de relativiser la proposition constructive du Président Poutine visant à convoquer une conférence en ligne de pays intéressés par la coopération en matière de création de vaccins contre le Covid	Miga ɖiɖi dukplɔla putine ƒe nyaɖoɖa si wowɔ be woakpe du siwo di abɔtala le yaʋaladzi o.
Sauvez les vies des Américains	Miɖe Amerikaviwo ƒe agbe.
Luttez contre le Covid-19 et non contre les vaccins russes», a tweeté l’ambassade	Miho aʋa ɖe covid-19 ŋu menye ɖe rɔghia bɔta la ŋu o.
La porte-parole du Département d’État américain Morgan Ortagus avait critiqué sur les réseaux sociaux la déclaration de Vladimir Poutine faite lors de l’Assemblée générale de l’ONU	Amerikadziɖuɖuanuɖela Motagus henya ɖe rɔshiatɔwo ƒe covid tsika la ŋu vevie le yaʋala dzi.
9Le Président affirmait que le vaccin russe était sûr et efficace	Putine be rɔsia tike la kakaɖedzi le eŋu eye wowɔa dɔ nyuie.
Pour sa part, Mme Ortagus a déclaré que des experts indépendants avaient mis en doute la validité des données publiées par la Russie sur les essais de phases I et II du Spoutnik V	Ke aƒenɔ ortagus be nunyalanɔɖokuisiwo ɖe ɖeklemi le ati la ƒe nyionyo ŋue.
Le président LR de la région Provence-Alpes-Côte d’Azur a aussi dénoncé dans un communiqué la fermeture des bars et restaurants décidée par le gouvernement en raison du coronavirus, qu’il voit comme une «punition collective» décidée «de façon unilatérale», rapporte l’AFP	Alpe nutomedzikpɔla henya ɖe nuɖuƒewo kple ahanoƒewo tutu ŋu le dɔa ƒe nya me.
«Cette punition collective est extrêmement dure pour l’économie de nos territoires», écrit ainsi Renaud Muselier, dénonçant un «quasi-reconfinement»	Hahotohehe sia sesẽ na miaƒe gadzimɔnuwo alke gbegbe.
Il aurait préféré un renforcement des contrôles et des fermetures administratives pour les établissements peu scrupuleux sur les mesures sanitaires	Anye ne woaga yi ŋkuléle ɖe ame siwo mawɔ ɖe se dzi o la ŋu boŋ.
Il ne fait pas bon vivre au PSG actuellement et pour cause, la situation financière qui plombe les transferts ainsi que les peines retenues contre Nasser Al-Khelaïfi	Nuwo mele edzi dzem le PSG fifia o le alesi wotumɔ na ameƒeƒle kple nya si wotsɔ ɖe nasser ŋu la ta.
Aussi, les départs n’ont pas été tous compensés, et le directeur sportif Leonardo se trouve coincé pour recruter	Eye womeɖɔ amedzodzowo teƒe ɖo o eye leonardo mekpɔ mɔnu aƒle ame o.
PSG : la réaction d’Angel Di Maria à sa sanction Selon  Foot 01, les propriétaires qataris doivent présenter des comptes impeccables pour éviter de se retrouver dans le viseur du fair-play financier, et la quête de ces fameux 60 M€ de vente provoque des décisions assez incroyables pour un club comme le PSG	Di Maria be qatartɔ siwotɔe nye PSG la ɖo la na akɔnta nyuitɔ alebe womagadze nyame le ganyanyuiwɔwɔnyawo me oe.
Selon L’Equipe, le président du champion de France estime que tous les joueurs de l’effectif sont à vendre dans les deux dernières semaines du marché des transferts, sauf cinq éléments : Neymar, Mbappé, Verratti, Navas et Marquinhos	Equipe be hakplɔla be bɔlƒovi ɖe sia ɖe dze na sasa le kwasiɖa mamlɔe me faa.
Pour le reste, c’est la grande braderie et personne n’est intouchable, pas même un Di Maria ou un Kimpembe donc	Minyae be ame aɖeke menye asimat,oe o eye woate ŋu asa ame abe di Maria hã fa.
Gueye, Draxler, Kehrer, Paredes ou Herrera refusent tous l’idée d’un départ, et ne croulent pas non plus sous les propositions avec leurs performances en demi-teinte	Gueye, Draxler, Kehrer, Paredes alo Herrer be yewomele dzodzo ge o ke hã meɖee wole dɔ wɔm nyuie o.
Pour des titulaires comme Di Maria ou Kimpembe, il faudrait bien évidemment une offre colossale, mais cette issue n’est plus totalement écartée	Kuɖe di maria kple kipembe siwo nye tomedela gbãtɔwo la, gakaka gã aɖee aɖe wo ɖa ke esia meva haɖe o vɔla menye nu mateŋudzɔe o.
Même du côté des jeunes, à part vendre le jeune Kalimuendo, le PSG n’a plus de joker, et cela inquiète aussi légitimement les supporters, qui se disent que leur club ne trouvera pas éternellement des solutions dans les prêts, et doit se renforcer encore en défense centrale, au milieu, et même en théorie devant, pour faire au moins aussi bien que la saison passée en Ligue des Champions	Le sɔhɛwo gome la, to vo na Kalimodo sasa la numetsakala aɖeke mega li o eye esia ɖo vɔvɔ̃ na haa.
Hier mercredi, sur Twitter, Emmanuel Macron a rendu hommage à Juliette Gréco, cette icône de la chanson française, née en 1927 à Montpellier et décédée le 23 septembre 2020 à l’âge de 93 ans	Le twitter dzi tɔ la, emmaunel Macron na bubu Juliette greko si wodzi le ƒè 1927 me le montpelier eye woku le anyɔnyɔ 23 liacdzi.
“Elle était l’élégance et la liberté	Enye nyonyo kple vovo ɖeɖefia.
Juliette Gréco a rejoint Brel, Ferré, Brassens, Aznavour et tous ceux qu’elle interpréta au Panthéon de la chanson française”, écrit-il	Juliette va yi dze brasse,ns, azanavour, brel kple etɔ mamlɔeawo dzi.
“Son visage et sa voix continueront à accompagner nos vies	Eƒe mo kple gbe ayi edzi anɔ miaŋu ɖaa.
La ‘muse de Saint-Germain-des-Prés’ est immortelle	St germain ƒe muse maku o.
Devenue petit rat à l’Opéra Garnier à 13 ans, Juliette Gréco a été emprisonnée à la maison d’arrêt de Fresnes pendant la guerre, en 1940, d’où elle est ressortie libre deux ans plus tard et a entamé sa carrière	Juliette greko sie dze opera hadzidzi gɔme le ƒè 13 xɔxɔme la, wolée de ga le xexeʋagã 2 mloia me eye wowɔ ƒè eve hafi te ŋu do yi eƒe hadzidzi dzí.
Au sortir de la guerre, elle découvre la vie de Saint-Germain-des-Prés et s’y lie d’amitié avec Boris Vian, Jean-Paul Sartre ou Joseph Kosma	Le aʋaa nuwuwu la eva St Germain les prés eye afi ma dze edzi nae woxe dze xlɔ̃  Boris Vian, Jean-Paul Sartre kple Joseph Kosma.
Son premier disque, “Je suis comme je suis”, enregistré en 1951, cette artiste multiple devient une figure des cabarets parisiens, elle rencontre également le succès au cinéma et à la télévision, rapporte Bfmtv	Le eƒe agbã gbãtɔ megbe eva zu amewokatã ƒe lɔlɔ̃tɔ le paris dua katã me.
Après avoir tour à tour été récompensée d’une Victoire de la musique pour l’ensemble de sa carrière en 2007, puis décorée de la Légion d’honneur en 2012, Juliette Gréco a entamé une tournée d’adieu baptisée Merci en 2015, mais elle a dû l’annuler à cause d’un AVC	Esi woɖu dodoɖedzi dzi le 2007 me kple dukɔsidzedze dzesi x;xo;xo mle 2012 me la, edze haɖoɖowɔw;wo kpɔt,;loe dzi le 2015 me hafi mete ŋu wu enu le dɔlélé ta o.
Ses titres inoubliables écrits par certains des plus grands musiciens de la chanson française notamment “La Javanaise” de Serge Gainsbourg, “Jolie Môme” de Léo Ferré, “Je hais les dimanches” – un texte signé Charles Aznavour – ou encore “Les Feuilles mortes”, poème de Jacques Prévert mis en musique par Joseph Kosma, bercerons encore longtemps les mémoires	Edzi ha sɔgbɔ le henɔ gagãwo ƒe hakpanya dzi.
Ils ont la possibilité de consulter les résultats de leur examen sur leur téléphone portable grâce aux numéros courts mis à leur disposition	Woate ŋu kpɔ dodokpɔmetsonuawo le kaƒomɔvi dzi to dzesi sue si wona la dzie.
Selon nos informations, les proclamations officielles seront faites dans les centres d’écrit au cours de la journée	Nyanyanana si tso tatɔwo gbɔ la be woana ŋuɖoɖoawo le dodokpɔŋlɔƒeawo mee.
Il est à rappeler que le diplôme du BEPC ouvre les portes du lycée au Togo	Minyae be BEPC ƒe ɖaseɖigbalẽae ʋua mɔ na titinasuku ɖoƒe evelmia me ɖoɖo.
Informé, le préfet de Dapaong a décrété la suspension provisoire de l’activité et a rassuré les 200 épargnants de la société qu’ils rentreront en possession de leurs fonds au moment opportun	Esi Dapaong nutomedzikpɔla la se nyaa la, eyi bia be woadzudzɔ gbɔlɔlɔa eye woka ɖe edzoi na ameawo be wodome ame sia ame axɔ eƒe ga si woda ɖi lae.
A la grande surprise de tous, à l’ouverture du coffre-fort de la société par le préfet, en présence du procureur de la ville, et du commissaire, ce dernier était vide ou presque	Ke nukutɔe esi nutomedzikpɔla la ʋu gaɖaka la le ameawo kple nutomevidzikpɔla kpakple kpovitɔwomegã ŋkume la, aɖakaa me le ƒuƒlu alo kloe.
Un mystère hilarant car les informations précisent qu’en lieu et place des 18 millions de FCFA, les 3 représentants de la ville se sont retrouvés devant un coffre-fort ne contenant que 350 FCFA et 2 gros cailloux	Esia nye nukunu elabe, le esime ga frã miliɔn 18 nanɔ aɖaka la me la, frã 350 kple kpekui goɖogoɖo eve koe le eme.
Affaire à suivre…	Miava yio edzi na mi.
Le match PSG-OM du 13 septembre dernier continue de laisser des séquelles	Bɔm si PSG kple OM ƒo nyitsɔ kuɖa anyɔnyɔ 23 lia la gale kuxi dom ɖi kokoko.
Et le Parisien a tenu à réagir à cette sanction	Eye paritɔ la be yeaɖo nyaa ŋu kokoko.
Une suspension clémente de la part de la commission de discipline, qui pouvait aller jusqu’à 6 rencontres selon les barèmes prévus	Tohehe la melolo o esime sea ɖdoe be woate ŋu atɔ te b:ol nae le gododo 6 me fa.
Pourtant, l’Argentin la trouve sévère, comme il l’a expliqué à Radio Continental	Ke ardzeŋtinavia be esia lolo glo.
Comme nous ne jouons pas en semaine, la sanction devient encore plus longue	Esi miele bɔl ƒom le kwasiɖadomegbe o ta la, nua ga dzidzi.
Ce que j’ai fait, je l’ai fait par réaction parce qu’il y a eu des mots qui ne m’ont pas plu de l’autre côté», a-t-il lancé	Nu si mewɔ la, mewɔ hena ŋuɖoɖo nu si tso afi kemɛ lɔm lae.
– assurer l’entretien des sanitaires, des espaces verts et des espaces extérieurs	Akpɔ afɔdzideƒewo k̂le abɔwo me gbɔ.
– veiller à ne pas endommager tout objet meublant, matériel et support pendant le processus de nettoyage	Kpɔ egbɔ be megagba nu siwo ɖo atsyɔ̃ na teƒea ƒe ɖeke o.
– respecter toutes les règles d’hygiène et sécurité	Wɔ ɖe dedienɔnɔ kple ameɖokuiŋubelele nyawo dzi.
– assurer diverses tâches à la demande des supérieurs hiérarchiques : photocopies et reliure de documents, petites courses, etc	Awɔ dɔ siwo tat:ɔ naɖo lae abe nutata, nuƒeƒle va na ɖoa me.
Profil – Avoir le niveau BEPC	Axɔ BEP ɖaseɖigbalẽ teti.
– avoir au moins 1 an d’expérience professionnelle dans l’entretien de locaux administratifs	Axɔ ƒè ɖeka teti le dɔsiawowɔwɔ mee.
– avoir une bonne connaissance des techniques et produits d’entretien et de nettoyage	Anya nututunuwo ŋudɔwɔwɔ kple wo zaza.
– être organisé, intègre et discret	Anye ame si wɔa ɖoɖo eye meƒoa nu o kple amemaɖuzãnue.
: poste à pourvoir en CDD de 3 mois avec possibilité de renouvellement	Woaxɔ wo kple ɣletitɔ̃agrimɛŋti si woagate ŋu awɔ le emegbe faa.
Covid-19 : la Suède accusée d’avoir laissé mourir les personnes âgéesCandidature Les personnes intéressées par cette annonce sont priées d’envoyer leur dossier comprenant :– une lettre de motivation adressée au coordonnateur de l’UGP	Ƒè si anɔp asi wo.
– une copie des diplômes et attestations de travail	Ta wo ɖaseɖigbamlẽ kple dɔwɔɖaseɖigbalẽ ɖeka.
– une copie du certificat de nationalité	Dumevinyenyegbalẽ tata ɖeka.
Les dossiers de candidatures doivent être envoyés au plus tard le 30 septembre 2020 à 17 h 30 min par voie numérique à l’adresse recrutement@ugptogo	Woaɖo dɔdzigbalẽawo to yaʋala dzi ɖe recrutement@ugptogo eye woawu woxɔxɔ nu le anyɔnyɔ 30 lia fiɛ ga 5 kple afã.
org avec mention obligatoire en objet de l’intitulé du poste	Miagblɔ nu si ta mieɖoe ɖa le nyanyanateƒea.
L’institution demanderesse se réserve le droit de ne donner aucune suite au présent avis	Mezi dɔnalawo dzi be woaɖo agbalẽa ŋu o.
La liste officielle des candidats sera disponible à partir du jeudi 24 septembre, indique le ministre togolais de la Défense ce jour	Dudɔnunɔla si kpɔa dedienɔnɔ nyawo gbɔ be dodokpɔwɔwlawo ŋkɔado tso yawoɖa kele 24 lia dzi.
Ainsi, les candidats sont priés de passer à l’État-major Général des FAT à Agoe-Nyivé salle d’attente pour consulter la liste de tous les candidats retenus	Wobia tsso wogbɔ be wone yi ɖe Togosrafowo tanɔƒe le Agoe lme godoƒexɔgã la me be woakpɔ ŋkɔawoe.
Par ailleurs, les épreuves écrites se dérouleront les 29 et 30 septembre 2020 à l’école centrale du camp général Gnassingbé Eyadéma à Lomé et les candidats retenus devront se munir d’une carte d’identité nationale ou d’un passeport en cours de validité et de la quittance	Ke dodokpɔŋɔ;,nlɔa akpɔ eme vava le anyɔnyɔ 29 kple 30 lia dzi le aʋafiagã Gnassingbe Eyadema ƒe aʋakɔnɔƒea me eye dodokpɔwɔla ɖe sia ɖe natsɔ eye dumevinyenye kaɖi alo mɔzɔgbalẽ kpeɖe fexegbalẽ la ŋue.
L’épidémie du coronavirus oblige, ils devront également se munir de masques et gels hydroalcooliques	Le Koronadɔ ta la woatsɔ motsyɔ̃nu kple asiklɔtsi hã ɖe asi.
La fin de l’aventure Barcelonaise a sonné pour Luis Suarez	Barcelonemɔzɔzɔ tɔ́ na  Luis Suarez.
L’Uruguayen débarque du côté de la capitale espagnole, notamment à l’Atlético Madrid	Uruguevi dzo yina fiadua me vevitɔ atletiko.
En six saisons du côté du Camp Nou, l’attaquant uruguayen aura explosé tous les compteurs, étant le plus fidèle acolyte de Lionel  Messi et signant des saisons monstrueuses, comme l’exercice 2015/2016, qu’il termine avec 59 réalisations au compteur	Le ƒè adẽ siwo wɔwɔ le Barcelona la, ede aga sɔgbɔ ƒè sia ƒe vevitɔ 59 siwo wodo le ƒè 2015-2016 me.
« Le FC Barcelone et l’Atlético Madrid sont parvenus à un accord pour le transfert du joueur Luis Suárez	Barcelone kple atletico wɔ ƒoƒose hena edzadzra.
La semaine dernière, quand l‘Union européenne s’inquiétait des mouvements politiques, l’État de Côte d’Ivoire disait en réponse prendre acte du communiqué de l’institution	Esi le kwasiɖa si miede megbe me yuropa dukɔƒoƒua be yewole vɔcɔm le howɔwɔ siuwo le mo dom ɖa le cotedivoire la, dukplɔla la ɖo eŋu be yese nya si wogbnlɔ lae.
À l’instar de l’institution européenne, Nathalie Yamb se veut également préoccupée	Nenema kee nathali yamb hã be yele vɔvɔm enye ema.
Dans une apparition sur son profil twitter, la conseillère exécutive de Mamadou Koulibaly, exhortait les autorités ivoiriennes à prendre exemple sur l’État ghanéen où malgré les élections présidentielles prévues pour décembre prochain, une atmosphère politique apaisée y règne pourtant, selon elle	Mamadou koulibali ƒe toƒoɖola la be wonekpɔ kpɔɖeŋu le Ghana si hã le akɔɖaƒe yige le dzome me eye va se ɖe fifia la, fafa le nuawo me to egbɔ be.
“Il y a l’élection présidentielle au Ghana en décembre 2020	Akɔa mle edzi dze ge ha.
Mais nulle part, on entend parler de violence, crise électorale, changement de Constitution, ordonnance… Tout ça, c’est grâce à ce monsieur et au cadre législatif électoral qu’il a mis en place	Le afi ma la, miese wobe wowɔ hoyanu alo gbɔllɔ le esi kple ekemɛ ta o.
On ne va pas s’en inspirer	Ɖee miasrɔ̃ esia oa.
”, s’est interrogée Nathalie Yamb sur son compte Twitter	Enye nya si nathalie bia le twitter dzi.
France : une avocate nommée à la tête de l’Ecole nationale de la magistrature	Le frãse, woda nyɔnu ɖe ta na suku sime wotua senyalawo lena la ta.
Sinon, le Ghana a longtemps été la capitale de l’instabilité et de la corruption	Mienya be ƒè geɖewoe nye esia la, Ghana nye ʋunyaʋunyadu kple zã̂nuɖudu.
Il suffit d’un bon leader pour changer la destinée d’un pays“	Kplɔla adodui koe nana du trɔna.
Libre de tout contrat depuis le dernier avec le Paris Saint-Germain avant la fin du final 8 à Lisbonne, Edinson Cavani ne semble pas vraiment pressé de retrouver une formation pour marquer des buts	Tso esime eƒe kadede nu vɔ kple PSG la, Gavani megale di tim be yeakpɔ ha bubu sime yeayi aɖa de age le o.
El Matador se serait d’ailleurs offert plusieurs fois à quelques grands noms du Vieux Continent comme le Real Madrid, et même le FC Barcelone, qui va perdre Luis Suarez	Ke hã ha gãgã aɖewo abe Real, alo Barcelone ene gogui hafi.
Mais dans le clan de l’ex du PSG, on n’oublie pas du tout les Colchoneros dont il était très proche en janvier dernier avant que le club de la capitale décide de le conserver	Ke le eya ŋutɔ gbɔ la, meŋlɔ colchonero be o elabe ha sia y,oe kpɔ hafi wogati PSG ƒè kemɛa me.
Mais celle-ci est uniquement conditionnée à un éventuel départ de Diego Costa, l’international Espagnol	Wobe ava ne Diego costa nlɔ̃ dzo la ko.
Avec Footmercato	Footmercato.
Dans un contexte où le monde est résolument tourné vers la protection de l’environnement et la promotion de l’agriculture bio, outiller les jeunes agriculteurs en ce sens devient un impératif	Esime xexea katã le ʋiʋlim na nuƒoxlãmededienɔnɔ kple agbledede adodui la, edze be woana s;lohɛwo natrɔ ɖe nenm nuwo gbɔ godogodo.
Selon Paul Agah, chef projet à la fondation sud-coréenne, Saemaul Undong, ”Nous produisons beaucoup en étant hostiles à l’environnement	Paul agah be yeole nu sɔgbɔ wɔm hele nuƒoxlãmewo gblem.
Et tout ceci détruit notre santé et la terre	Eye esia le miaƒe lãmesẽ gblem klple anyigbala siaa.
Comment en étant jeunes, on peut être en harmonie avec la nature en produisant avec tout ce que la nature nous livre pour enrichir le sol et produire des produits qui peuvent résister aujourd’hui	Aleke abe sɔhɛ ene la miate ŋu awɔ ɖeka kple xexea eye miawɔ nu siiwo magblẽ nuƒoxlãmewoe o eye wɔanɔ anyi ɖaa.
Comment faire en sorte que la terre soit bien nourrie et que les produits qui doivent sortir de la terre permettent à l’homme d’avoir une bonne santé et une bonne croissance	Amle ke miawɔe be anyigba nakpɔ nuɖuɖu nyuie eye be nu siwo nado tso eme na mi la magblẽ miaƒe lãmesẽ oe mahã.
Objectif, faire d’eux, des patrons d’entreprises vertes capables de faire preuve de dynamisme et de résilience dans la conduite de leurs activités	Taɖodzinuae nye be miawɔ wo woanye dɔɖola si ate ŋu aʋli xexea ta eye woanye ame bibiwo ahelé fɔ̃ ɖe dɔ ŋue.
Togo/Savanes : plus de 222 millions de F CFA au profit des agriculteurs	Togo/Dzogbenutome: wone ga frã miliɔn 222 kple edzivɔwo hena agble adoduidede.
A la fin de la formation, ils seront accompagnés à travers des financements pour la concrétisation de leurs projets	Ne wowu tutuɖo nu la, woakpe ɖe woŋu hena gadodo na woƒe ɖoɖowo ɖeɖe ɖe gó.
Le camp est animé par la fondation sud-coréenne, Saemaul Undong et s’inscrit dans le cadre de l’opérationnalisation de l’agropole de Kara	Koreakpeɖeŋuɖoɖo Seamaul de megbe na wɔna sia hena kara ƒe Afropol dɔ gɔmedzedze.
Le barême de la FFF, qui s’applique à la LFP, pouvait prévoir jusqu’à six matches de suspension dans ce cas de figure	Woate ŋu ahe to na ame abe alesi frãse bɔlƒoƒoɖoɖose la ɖui be woahe bɔlƒoŋkeke adẽ tó na ame lae.
Une légende néerlandaise à la tête de l’équipe nationale	Holandtɔ xɔŋkɔ aɖee le ta na dubɔlƒohaa fifia.
Frank de Boer, 113 capes en tant que joueur, a été nommé sélectionneur des Pays-Bas par sa Fédération, ce mercredi 23 septembre 2020	Wotsiã Frank de Boer si ƒo ʋiʋli 113 na dua kpɔ la be woafia b,ol duha tso anyɔnyɔ 23 lia dzi.
« L’ancien international de 50 ans mènera les Oranje jusqu’à la fin de la Coupe du monde 2022 au Qatar », a précisé la KNVB dans un communiqué	Wobe eyae akplɔ ha va se ɖe eesime woawu xexekpluhoʋiʋli nu le qatar le ƒè 2022 me.
Remporter le Mondial sera justement son objectif	Taɖodzinuae nye be woaɖu hoʋiʋlia dzi.
Le vainqueur de la Ligue des champions 1995 entraînait l’équipe américaine depuis 2018	Tso ƒè 2018 me kee wonɔ bɔl fiam Amerikabɔlƒoha lae.
Alors que Kodak Black purge actuellement une peine de près de quatre ans de prison pour détention d’armes, il serait  en train de vivre un calvaire	Wobe Kodak Black siele gakpɔme le aʋawɔnu nɔamesi ta la le kuxigã me le afi mae.
Depuis qu’il a été déplacé dans une prison de sécurité maximale nommée Big Sandy et localisée dans le Kentucky, le rappeur originaire de Floride serait victime de multiples abus, humiliations et tortures	Wobe esi wodee gakpɔ si ƒe dedienɔnɔ sesẽ wu la me la, ɖeko woɖia gbɔe ahe do vevesese geɖe nae.
En mai dernier, on apprenait qu’il aurait été tabassé par plusieurs gardiens de prison	Le dame me la miese be gakpɔdzikpɔla geɖe ƒoe.
Par l’intermédiaire d’informations rendues publiques par TMZ, on a appris qu’il ne comptait plus se laisser faire : lassé des mauvais traitements, il a lancé une action en justice contre le Bureau fédéral des prisons	Ebe yemegale asi ɖege le yeŋu na wo o eyata eɖui be yatsɔ nya ɖe dua ƒze gakpɔdzikpɔlawo ŋue.
Dans les documents de la plainte, on apprend notamment que Kodak Black a été frappé dès son arrivée dans la prison : maintenu, des gardiens se sont amusés à donner des pichenettes dans ses testicules	Wobe tso esime wova gakpɔame la, woƒoe vevie eye wolii te ɖiu eye gakpɔdzikpɔlawo ƒo neku dzi nae.
Mercato : le Barça prépare un coup de balai titanesque	Barca le didim be yeaɖiɖi amewo dzi kpɔtɔ.
les joueurs cités	Bɔlƒola siwo adzoe nye.
Enfin, outre le fait que la prison lui refuserait l’accès à un rabbin, le jeune rappeur accuse des surveillants pénitentiaires de le contraindre de se mettre à genoux, comme s’il allait être exécuté, et ce alors qu’il est trempé jusqu’aux os	Tovo na esi wobe makpɔ mawununɔla aɖeke o la, ebe woɖoa ye klo dzi abe ɖee wole ye wu ge ene esime yeametia katã yenyia tsi ɖeɖe lae.
A Adakpamé, dans la préfecture du Golfe, 8 jeunes entrepreneurs ont créé la coopérative Fish Farm 2020, laquelle est focalisée sur la production du poisson tilapia	Le aɖakpame le futanutome la, sɔh:e 8 ɖo dɔ aɖe si woyɔ be FishFarm 2020 eye wole abɔe nyim.
Leur projet fleurit et génère des revenus satisfaisants si bien que des jeunes désœuvrés commencent à marcher dans leurs pas	Woƒe adzɔa le vi ɖem alegbegbe be sɔhɛ dɔmakpɔwɔe bubuwo dze woƒe afɔtoƒee.
La coopérative Fish Farm 2020 dispose de quatre bacs en ciment aménagés pour la culture du Tilapia et chaque jour, 50 kilos de poisson sont pêchés et écoulés sur le marché local	Woɖe tã ene hena lãwo nyinyi eye woɖea akpa kilo 50 gbe sia gbe hedzrana le Lome.
Elle a acquis tout récemment un lot de terrain à Adamavo qu’elle compte aménager pour installer plus de bacs et réaliser un forage	Hatsotso ƒle anyigba loo ɖeka le adamavɔ eye woɖui be yewoaɖe ta bubuwo le afi ma.
tout ceci pour augmenter ses rendements	Ale be yewoaga ɖe lã kpee.
Les 8 jeunes entrepreneurs ont développé les techniques qu’ils ont apprises pendant la formation du Camp du futur en janvier 2019	Wɔna siwo wole zazãm la, wosrɔ̃e le camp du futur le 2019 me.
La formation a reposé sur la méthode de travail dans une unité de production et sur le système de commercialisation pour devenir des entrepreneurs accomplis	Tutuɖoa kuɖe dɔwɔmɔnu le nuwɔdɔwɔƒe kple ale si wodzra nuwɔwɔa woe lae.
Les procédures sont en cours pour que la coopérative profite de cet accompagnement	Wole ɖoɖo wɔm be habɔb;,oa nakpɔ gome le esia me.
Il faut noter que, d’une part, la mise en œuvre de ce projet contribuera à l’augmentation des revenus des membres de la coopérative et partant, l’amélioration de leurs conditions de vie et celles des ménages	Nu siawo wɔw;wo ana be woakpɔ ga ,de edzi eye woƒe gbe sia gbe gbenɔnɔ natrɔ.
Ci-dessous, les coordonnées de la Coopérative Fish Farm :Nom du promoteur : Fish Farm 2020Localisation : Région Maritime, Préfecture Golfe, Canton de Bè, Lomé, quartier AdakpaméContact : 90 00 05 03 / 96 58 12 58 / 90 37 54 53	Miakpɔ woƒe ŋkɔ kple teƒe le afi sia:  Fish Farm 2020 teƒe: Fugomenutome, Golfe, Bènutovi me, Lomé, Kɔ́ Adakpamé kaƒomɔ : 90 00 05 03 / 96 58 12 58 / 90 37 54 53.
Le coordonnateur national de gestion de la riposte contre la Covid-19, le Col Djibril Mohaman, a tenu son point de presse hebdomadaire ce mercredi 23 septembre 2020	Covid ʋawɔdzikpɔla djibril ga ɖe nu me le anyɔnyɔ 23 lia sia gbe.
En ce qui concerne le nombre de cas positifs au Coronavirus, il note une tendance à la baisse	Ebe ame siwo le dɔa la mega sɔgbɔ o.
« Cette semaine nous voyons une stabilisation	Kwasiɖa sia me la, nuwo nyo.
cette semaine nous avons 88 alors que les semaines d’avant, on enregistrait jusqu’à 130	Kwasiɖa sia me la ame 88 koe le esime esiwo va yi la miekpɔa wodena 130.
Ce qui veut dire que les chiffres sont en train de baisser dans les foyers épidémiques que nous avons bouclés », observe le Col Mohaman	Esia ɖee fia be d;loa le ɖiɖim le teƒe siwo miekpɔe le eye mide ga wonu le lae.
Mettant l’accent sur la sensibilisation, le coordonnateur a évoqué la levée du couvre-feu dans les préfectures bouclées	Ete gbe ɖe nuƒonamewo dzi eye wogblɔ be wole zamemanɔ la ɖe ge ɖa.
« Dans ces zones bouclées les choses évoluent très bien : les cas commencent à se faire rares et si les choses continuent dans ce sens, elles seront bientôt débouclées et les couvre-feux seront levés	Le du mawo me la, dɔa megale amewo leém o eye ne ele edzi yim alea la ekem miaɖe kpɔtɔtɔ,,laɖae.
Les zones bouclées qui accueillent les cérémonies traditionnelles seront rouvertes une semaine après que les choses seront finies », a conclu le Colonel	Ne teƒe aɖe mli si ɖua dezã eye wotɔkpɔ ɖee la, woaʋui kwasi;:de ɖeka le azã megbe.
19 nominations, en Conseil des ministres	Wona ŋkɔ 19 le dudɔnunɔlawo takpekpe me.
Le président de la République, a présidé le Conseil des ministres, le mercredi 23 septembre 2020, à 10 heures, au Palais de la République	Dukplɔla kplɔ takpekpea le any;ponyɔ 23 lia dzi le ga 10 me.
Au titre des mesures individuelles, Macky Sall a pris les décisions suivantes : monsieur Pierre Faye, Conseiller des Affaires étrangères, matricule de solde n° 624	Le ɖoɖotɔhɛwogome la, Macky sall ɖoe be aƒetɔ Pierre Faye, toƒoɖola kuɖe dutanyawo ŋu, xexlẽmedzesi 624.
511/C, précédemment Ministre-Conseiller, Conseiller technique au Cabinet du Ministre des Affaires étrangères et des Sénégalais de l’Extérieur, est nommé Ambassadeur, Secrétaire général adjoint du Ministère des Affaires étrangères et des Sénégalais de l’Extérieur, en remplacement de Monsieur Sonar Ngom appelé à d’autres fonctions	Sienye dudɔnunɔlatoƒoɖola la dudɔnjunɔƒe si kpɔa dutanyawogbɔ zu dukɔteƒenɔla si akpɔ Senegalvi siwo le du ta la nyawo gbɔ.
Monsieur Ousmane Mbaye Commissaire principal aux Enquêtes économiques, matricule de solde 606 932/D, est nommé Directeur de l’Administration générale et de l’Équipement au Ministère du Tourisme et des Transports aériens, en remplacement de Monsieur Daouda Mbaye, appelé à d’autres fonctions	Aƒetɔ Ousmane Mbaye sie kpɔa numekukunyawo gbɔ la zu dzikpɔla na nunɔamesi siwo le dudɔnunɔƒe si kpɔa tsaɖiɖi, agbakunyawo kple yamemɔzɔnyawo gbɔ lae.
Monsieur Souleymane Ndiaye, Ingénieur de conception en Génie civil, est nommé Directeur des Infrastructures aéroportuaires au Ministère du Tourisme et des Transports aériens, poste vacant	Aƒetɔ souleymane Ndiaye, nunyawɔnuwogb,okpɔla zu yamemɔzɔnuwodɔwɔnuwotatɔ le dudɔnunɔƒe si kpɔa tsadiɖi kple yamemɔzɔnyawo gbɔ lae.
